accession,assembly_id,status,date_published
GCA_003815275.2,ASFV/Pol/2015/Podlaskie,Complete Genome,2024/05/25 00:00
GCA_039702985.1,ASFV_SD202105,Complete Genome,2024/05/20 00:00
GCA_039567235.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567225.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567215.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567205.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567195.1,ASM3956719v1,Complete Genome,2024/05/08 00:00
GCA_039567185.1,Uganda898,Complete Genome,2024/05/08 00:00
GCA_039567175.1,ASM3956717v1,Complete Genome,2024/05/08 00:00
GCA_039567165.1,ASM3956716v1,Complete Genome,2024/05/08 00:00
GCA_039567155.1,ASM3956715v1,Complete Genome,2024/05/08 00:00
GCA_039567145.1,ASM3956714v1,Complete Genome,2024/05/08 00:00
GCA_039567135.1,ASM3956713v1,Complete Genome,2024/05/08 00:00
GCA_039567125.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567115.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567095.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567085.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567075.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567065.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567055.1,ASM3956705v1,Complete Genome,2024/05/08 00:00
GCA_039567045.1,ASM3956704v1,Complete Genome,2024/05/08 00:00
GCA_039567035.1,Ghana2021-13,Complete Genome,2024/05/08 00:00
GCA_039567025.1,ASM3956702v1,Complete Genome,2024/05/08 00:00
GCA_039567015.1,ASM3956701v1,Complete Genome,2024/05/08 00:00
GCA_039567005.1,ASM3956700v1,Complete Genome,2024/05/08 00:00
GCA_038975805.1,ASM3897580v1,Complete Genome,2024/05/01 00:00
GCA_038975775.1,ASM3897577v1,Complete Genome,2024/05/01 00:00
GCA_038789245.1,ASM3878924v1,Complete Genome,2024/04/30 00:00
GCA_038789235.1,ASM3878923v1,Complete Genome,2024/04/30 00:00
GCA_038789225.1,ASM3878922v1,Complete Genome,2024/04/30 00:00
GCA_038422325.1,ASM3842232v1,Complete Genome,2024/04/23 00:00
GCA_038422295.1,ASM3842229v1,Complete Genome,2024/04/23 00:00
GCA_038422285.1,ASM3842228v1,Complete Genome,2024/04/23 00:00
GCA_038422275.1,ASM3842227v1,Complete Genome,2024/04/23 00:00
GCA_038422265.1,ASM3842226v1,Complete Genome,2024/04/23 00:00
GCA_038422225.1,ASM3842222v1,Complete Genome,2024/04/23 00:00
GCA_038422185.1,ASM3842218v1,Complete Genome,2024/04/23 00:00
GCA_038422125.1,ASM3842212v1,Complete Genome,2024/04/23 00:00
GCA_038422115.1,ASM3842211v1,Complete Genome,2024/04/23 00:00
GCA_038422085.1,ASM3842208v1,Complete Genome,2024/04/23 00:00
GCA_038422075.1,ASM3842207v1,Complete Genome,2024/04/23 00:00
GCA_038422065.1,ASM3842206v1,Complete Genome,2024/04/23 00:00
GCA_038422035.1,ASM3842203v1,Complete Genome,2024/04/23 00:00
GCA_038422005.1,ASM3842200v1,Complete Genome,2024/04/23 00:00
GCA_038421955.1,ASM3842195v1,Complete Genome,2024/04/23 00:00
GCA_038421925.1,ASM3842192v1,Complete Genome,2024/04/23 00:00
GCA_038421915.1,ASM3842191v1,Complete Genome,2024/04/23 00:00
GCA_038421905.1,ASM3842190v1,Complete Genome,2024/04/23 00:00
GCA_038421895.1,ASM3842189v1,Complete Genome,2024/04/23 00:00
GCA_038421865.1,ASM3842186v1,Complete Genome,2024/04/23 00:00
GCA_024637735.2,ASM2463773v1,Complete Genome,2024/04/16 00:00
GCA_038104785.1,ASM3810478v1,Complete Genome,2024/04/15 00:00
GCA_038022485.1,ASM3802248v1,Complete Genome,2024/04/08 00:00
GCA_038022475.1,ASFV-G-delta MGF-DMAC,Complete Genome,2024/04/08 00:00
GCA_038022465.1,ASM3802246v1,Complete Genome,2024/04/08 00:00
GCA_036979595.1,ASM3697959v1,Complete Genome,2024/03/04 00:00
GCA_036924225.1,ASM3692422v1,Complete Genome,2024/02/29 00:00
GCA_036418405.1,NAM3A19,Complete Genome,2024/02/06 00:00
GCA_035134435.1,ASM3513443v1,Complete Genome,2024/01/05 00:00
GCA_035134395.1,ASM3513439v1,Complete Genome,2024/01/05 00:00
GCA_035090905.1,Mon_WB,Complete Genome,2024/01/04 00:00
GCA_035090895.1,Mon_Dom,Complete Genome,2024/01/04 00:00
GCA_034859605.1,SY18deltaL11L,Complete Genome,2023/12/31 00:00
GCA_034859595.1,SY18deltaL9R,Complete Genome,2023/12/31 00:00
GCA_034859585.1,SY18deltaL7L,Complete Genome,2023/12/31 00:00
GCA_034859575.1,SY8DeltaI196L-1,Complete Genome,2023/12/31 00:00
GCA_034859565.1,SY18deltaL10L,Complete Genome,2023/12/31 00:00
GCA_034859555.1,SY18deltaL8L,Complete Genome,2023/12/31 00:00
GCA_034859545.1,SY18deltaI196L-2,Complete Genome,2023/12/31 00:00
GCA_034408815.1,Lv17/WB/Rie1,Complete Genome,2023/12/15 00:00
GCA_034408805.1,Lv17/WB/Rie1,Complete Genome,2023/12/15 00:00
GCA_033440645.1,ASM3344064v1,Complete Genome,2023/11/08 00:00
GCA_033440595.1,ASM3344059v1,Complete Genome,2023/11/08 00:00
GCA_033440545.1,ASM3344054v1,Complete Genome,2023/11/08 00:00
GCA_033440495.1,ASM3344049v1,Complete Genome,2023/11/08 00:00
GCA_033311035.1,De Novo Assembly,Complete Genome,2023/11/03 00:00
GCA_033092425.1,ASM3309242v1,Complete Genome,2023/10/27 00:00
GCA_033092415.1,ASM3309241v1,Complete Genome,2023/10/27 00:00
GCA_033092405.1,ASM3309240v1,Complete Genome,2023/10/27 00:00
GCA_033092395.1,ASM3309239v1,Complete Genome,2023/10/27 00:00
GCA_033092385.1,ASM3309238v1,Complete Genome,2023/10/27 00:00
GCA_033092375.1,ASM3309237v1,Complete Genome,2023/10/27 00:00
GCA_032988135.1,Ghana2022-62,Complete Genome,2023/10/24 00:00
GCA_032988125.1,Ghana2022-40,Complete Genome,2023/10/24 00:00
GCA_032988115.1,Ghana2022-34,Complete Genome,2023/10/24 00:00
GCA_032988105.1,Ghana,Complete Genome,2023/10/24 00:00
GCA_032918185.1,ASM3291818v1,Complete Genome,2023/10/22 00:00
GCA_032435755.1,50665.12_2152/GE/2022 Italy,Complete Genome,2023/10/06 00:00
GCA_032435745.1,ASM3243574v1,Complete Genome,2023/10/06 00:00
GCA_032435735.1,34616_2119/RM/2022 Italy,Complete Genome,2023/10/06 00:00
GCA_032435725.1,47169.14_1497/AL/2022 Italy,Complete Genome,2023/10/06 00:00
GCA_032435715.1,989_1a,Complete Genome,2023/10/06 00:00
GCA_032435705.1,50665.8_2167/AL/2022 Italy,Complete Genome,2023/10/06 00:00
GCA_032435695.1,47169.12_1495/GE/2022 Italy,Complete Genome,2023/10/06 00:00
GCA_032435685.1,50665.9_2157/AL/2022 Italy,Complete Genome,2023/10/06 00:00
GCA_032435675.1,50665.5_2168/AL/2022 Italy,Complete Genome,2023/10/06 00:00
GCA_032435665.1,50665.1_2170/AL/2022 Italy,Complete Genome,2023/10/06 00:00
GCA_032435655.1,34612_2115/RM/2022 Italy,Complete Genome,2023/10/06 00:00
GCA_032435645.1,47169.16_1499/AL/2022 Italy,Complete Genome,2023/10/06 00:00
GCA_032435635.1,21730_1474/RM/2022 Italy,Complete Genome,2023/10/06 00:00
GCA_032435625.1,ASM3243562v1,Complete Genome,2023/10/06 00:00
GCA_032435615.1,989_10a,Complete Genome,2023/10/06 00:00
GCA_032435605.1,989_5a,Complete Genome,2023/10/06 00:00
GCA_031954085.2,CN/GD/2022,Complete Genome,2023/10/05 00:00
GCA_032255605.1,LIS57A3,Complete Genome,2023/10/02 00:00
GCA_032255575.1,African swine fever virus,Complete Genome,2023/10/02 00:00
GCA_032255565.1,African swine fever virus,Complete Genome,2023/10/02 00:00
GCA_032255495.1,African swine fever virus,Complete Genome,2023/10/02 00:00
GCA_031954085.1,CN/GD/2022,Complete Genome,2023/09/26 00:00
GCA_031781585.1,ASM3178158v1,Complete Genome,2023/09/20 00:00
GCA_031781555.1,ASFV-DeltaH240R-Delta7R_P10,Complete Genome,2023/09/20 00:00
GCA_031781545.1,ASFV-DeltaH240R-Delta7R_P30,Complete Genome,2023/09/20 00:00
GCA_031678225.1,ASM3167822v1,Complete Genome,2023/09/19 00:00
GCA_031322375.1,ASM3132237v1,Complete Genome,2023/09/09 00:00
GCA_031322365.1,ASM3132236v1,Complete Genome,2023/09/09 00:00
GCA_031281775.1,ASFV_Kenya_DA104R_LoxP_GFP_CD4,Complete Genome,2023/09/08 00:00
GCA_030719075.1,Uncultured African Swine Fever virus strain SG/NParks/A-MAM-2023-02-00021,Complete Genome,2023/08/14 00:00
GCA_030622065.1,ASFV-YC,Complete Genome,2023/08/03 00:00
GCA_030622025.1,ASFV-HC,Complete Genome,2023/08/03 00:00
GCA_030621965.1,ASFV-CW,Complete Genome,2023/08/03 00:00
GCA_030555255.1,ASM3055525v1,Complete Genome,2023/07/31 00:00
GCA_030517925.1,ASM3051792v1,Complete Genome,2023/07/22 00:00
GCA_030517915.1,ASM3051791v1,Complete Genome,2023/07/22 00:00
GCA_030517905.1,ASM3051790v1,Complete Genome,2023/07/22 00:00
GCA_030517895.1,ASM3051789v1,Complete Genome,2023/07/22 00:00
GCA_030517885.1,ASM3051788v1,Complete Genome,2023/07/22 00:00
GCA_030517875.1,ASM3051787v1,Complete Genome,2023/07/22 00:00
GCA_030517865.1,ASM3051786v1,Complete Genome,2023/07/22 00:00
GCA_030517855.1,ASM3051785v1,Complete Genome,2023/07/22 00:00
GCA_030517845.1,ASM3051784v1,Complete Genome,2023/07/22 00:00
GCA_030517835.1,ASM3051783v1,Complete Genome,2023/07/22 00:00
GCA_030515915.1,ASM3051591v1,Complete Genome,2023/07/21 00:00
GCA_030504015.1,ASM3050401v1,Complete Genome,2023/07/18 00:00
GCA_003815435.3,ASM381543v2,Complete Genome,2023/07/13 00:00
GCA_021442265.2,ASM2144226v1,Complete Genome,2023/07/06 00:00
GCA_014692485.2,ASFV Korea/pig/Paju1/2019,Complete Genome,2023/06/21 00:00
GCA_029948205.1,ASM2994820v1,Complete Genome,2023/05/04 00:00
GCA_029850675.1,ASM2985067v1,Complete Genome,2023/04/20 00:00
GCA_029850665.1,ASM2985066v1,Complete Genome,2023/04/20 00:00
GCA_029838265.1,Nigeria-RV502,Complete Genome,2023/04/19 00:00
GCA_029816925.1,ASM2981692v1,Complete Genome,2023/04/18 00:00
GCA_029816915.1,ASM2981691v1,Complete Genome,2023/04/18 00:00
GCA_029816885.1,ASM2981688v1,Complete Genome,2023/04/18 00:00
GCA_029625515.1,ASM2962551v1,Complete Genome,2023/04/09 00:00
GCA_029319115.1,ASM2931911v1,Complete Genome,2023/03/21 00:00
GCA_029319105.1,ASM2931910v1,Complete Genome,2023/03/21 00:00
GCA_029218235.1,ASM2921823v1,Complete Genome,2023/03/15 00:00
GCA_029218225.1,ASM2921822v1,Complete Genome,2023/03/15 00:00
GCA_029218215.1,ASM2921821v1,Complete Genome,2023/03/15 00:00
GCA_029218205.1,ASM2921820v1,Complete Genome,2023/03/15 00:00
GCA_029218195.1,ASM2921819v1,Complete Genome,2023/03/15 00:00
GCA_024472185.2,ASM2447218v1,Complete Genome,2023/03/11 00:00
GCA_027920695.1,20355/RM/2022_Italy,Complete Genome,2023/01/19 00:00
GCA_027920685.1,ASM2792068v1,Complete Genome,2023/01/19 00:00
GCA_027266455.1,ASM2726645v1,Complete Genome,2022/12/23 00:00
GCA_025758325.2,ASM2575832v1,Complete Genome,2022/12/05 00:00
GCA_025758315.2,ASM2575831v1,Complete Genome,2022/12/05 00:00
GCA_026432175.1,JX21,Complete Genome,2022/11/28 00:00
GCA_026432165.1,ASM2643216v1,Complete Genome,2022/11/28 00:00
GCA_026411225.1,African_swine_fever_virus_SY-2, Complete Genome,2022/11/27 00:00
GCA_026411215.1,ASM2641121v1,Complete Genome,2022/11/27 00:00
GCA_025887135.1,ASM2588713v1,Complete Genome,2022/10/27 00:00
GCA_025887125.1,ASM2588712v1,Complete Genome,2022/10/27 00:00
GCA_025887115.1,ASM2588711v1,Complete Genome,2022/10/27 00:00
GCA_025887105.1,ASM2588710v1,Complete Genome,2022/10/27 00:00
GCA_025787685.1,ASM2578768v1,Complete Genome,2022/10/21 00:00
GCA_025787675.1,ASM2578767v1,Complete Genome,2022/10/21 00:00
GCA_025758365.1,ASM2575836v1,Complete Genome,2022/10/19 00:00
GCA_025758355.1,ASM2575835v1,Complete Genome,2022/10/19 00:00
GCA_025758325.1,ASM2575832v1,Complete Genome,2022/10/19 00:00
GCA_025758315.1,ASM2575831v1,Complete Genome,2022/10/19 00:00
GCA_025756195.1,African_swine_fever_virus_SY-1,Complete Genome,2022/10/19 00:00
GCA_025204145.1,ASM2520414v1,Complete Genome,2022/09/14 00:00
GCA_025204135.1,ASM2520413v1,Complete Genome,2022/09/14 00:00
GCA_025204125.1,ASM2520412v1,Complete Genome,2022/09/14 00:00
GCA_025204115.1,ASM2520411v1,Complete Genome,2022/09/14 00:00
GCA_025204105.1,ASM2520410v1,Complete Genome,2022/09/14 00:00
GCA_025204095.1,ASM2520409v1,Complete Genome,2022/09/14 00:00
GCA_025204085.1,ASM2520408v1,Complete Genome,2022/09/14 00:00
GCA_024825055.1,ASM2482505v1,Complete Genome,2022/09/01 00:00
GCA_024825045.1,ASM2482504v1,Complete Genome,2022/09/01 00:00
GCA_024825035.1,ASM2482503v1,Complete Genome,2022/09/01 00:00
GCA_024825025.1,ASM2482502v1,Complete Genome,2022/09/01 00:00
GCA_024825015.1,ASM2482501v1,Complete Genome,2022/09/01 00:00
GCA_024825005.1,ASM2482500v1,Complete Genome,2022/09/01 00:00
GCA_024824995.1,ASM2482499v1,Complete Genome,2022/09/01 00:00
GCA_024824985.1,ASM2482498v1,Complete Genome,2022/09/01 00:00
GCA_024824975.1,ASM2482497v1,Complete Genome,2022/09/01 00:00
GCA_024707755.1,ASFV_YNFN202103,Complete Genome,2022/08/18 00:00
GCA_024707745.1,ASFV_GZ201801_2,Complete Genome,2022/08/18 00:00
GCA_024637735.1,ASM2463773v1,Complete Genome,2022/08/12 00:00
GCA_024205995.2,ASM2420599v1,Complete Genome,2022/08/05 00:00
GCA_024472185.1,ASM2447218v1,Complete Genome,2022/07/28 00:00
GCA_024205995.1,ASM2420599v1,Complete Genome,2022/07/11 00:00
GCA_023702775.1,ASM2370277v1,Complete Genome,2022/06/12 00:00
GCA_023547215.1,ASM2354721v1,Complete Genome,2022/05/25 00:00
GCA_023547205.1,ASM2354720v1,Complete Genome,2022/05/25 00:00
GCA_023376205.1,ASM2337620v1,Complete Genome,2022/05/16 00:00
GCA_023159395.1,ASM2315939v1,Complete Genome,2022/04/27 00:00
GCA_022828515.1,ASFV Complete Genome,2022/04/06 00:00
GCA_022828505.1,ASFV Complete Genome,2022/04/06 00:00
GCA_022695855.1,ASM2269585v1,Complete Genome,2022/03/25 00:00
GCA_022516275.1,ASM2251627v1,Complete Genome,2022/03/08 00:00
GCA_021442265.1,ASM2144226v1,Complete Genome,2022/01/12 00:00
GCA_021125865.1,ASM2112586v1,Complete Genome,2021/12/08 00:00
GCA_021125855.1,ASM2112585v1,Complete Genome,2021/12/08 00:00
GCA_020882765.1,ASM2088276v1,Complete Genome,2021/11/16 00:00
GCA_020882755.1,ASM2088275v1,Complete Genome,2021/11/16 00:00
GCA_020746545.1,ASFV_Viet Nam_2,Complete Genome,2021/11/05 00:00
GCA_020704175.1,ASFV_VN/HA-ASFV1(2019),Complete Genome,2021/11/01 00:00
GCA_020544015.1,ASM2054401v1,Complete Genome,2021/10/24 00:00
GCA_020544005.1,ASM2054400v1,Complete Genome,2021/10/24 00:00
GCA_020543995.1,ASM2054399v1,Complete Genome,2021/10/24 00:00
GCA_020543925.1,ASM2054392v1,Complete Genome,2021/10/24 00:00
GCA_020543915.1,ASM2054391v1,Complete Genome,2021/10/24 00:00
GCA_020543905.1,ASM2054390v1,Complete Genome,2021/10/24 00:00
GCA_020543895.1,ASM2054389v1,Complete Genome,2021/10/24 00:00
GCA_020543885.1,ASM2054388v1,Complete Genome,2021/10/24 00:00
GCA_020543875.1,ASM2054387v1,Complete Genome,2021/10/24 00:00
GCA_020543865.1,ASM2054386v1,Complete Genome,2021/10/24 00:00
GCA_020543855.1,ASM2054385v1,Complete Genome,2021/10/24 00:00
GCA_020543845.1,ASM2054384v1,Complete Genome,2021/10/24 00:00
GCA_020543835.1,ASM2054383v1,Complete Genome,2021/10/24 00:00
GCA_020543825.1,ASM2054382v1,Complete Genome,2021/10/24 00:00
GCA_020543815.1,ASM2054381v1,Complete Genome,2021/10/24 00:00
GCA_020543805.1,ASM2054380v1,Complete Genome,2021/10/24 00:00
GCA_020543795.1,ASM2054379v1,Complete Genome,2021/10/24 00:00
GCA_020543785.1,ASM2054378v1,Complete Genome,2021/10/24 00:00
GCA_020543775.1,ASM2054377v1,Complete Genome,2021/10/24 00:00
GCA_020543765.1,ASM2054376v1,Complete Genome,2021/10/24 00:00
GCA_020543755.1,ASM2054375v1,Complete Genome,2021/10/24 00:00
GCA_020543745.1,ASM2054374v1,Complete Genome,2021/10/24 00:00
GCA_020543735.1,ASM2054373v1,Complete Genome,2021/10/24 00:00
GCA_020543725.1,ASM2054372v1,Complete Genome,2021/10/24 00:00
GCA_020543715.1,ASM2054371v1,Complete Genome,2021/10/24 00:00
GCA_020543705.1,ASM2054370v1,Complete Genome,2021/10/24 00:00
GCA_020543695.1,ASM2054369v1,Complete Genome,2021/10/24 00:00
GCA_020543685.1,ASM2054368v1,Complete Genome,2021/10/24 00:00
GCA_020543675.1,ASM2054367v1,Complete Genome,2021/10/24 00:00
GCA_020543665.1,ASM2054366v1,Complete Genome,2021/10/24 00:00
GCA_020543655.1,ASM2054365v1,Complete Genome,2021/10/24 00:00
GCA_020543645.1,ASM2054364v1,Complete Genome,2021/10/24 00:00
GCA_020543635.1,ASM2054363v1,Complete Genome,2021/10/24 00:00
GCA_020543625.1,ASM2054362v1,Complete Genome,2021/10/24 00:00
GCA_020543615.1,ASM2054361v1,Complete Genome,2021/10/24 00:00
GCA_020543605.1,ASM2054360v1,Complete Genome,2021/10/24 00:00
GCA_020543595.1,ASM2054359v1,Complete Genome,2021/10/24 00:00
GCA_020543585.1,ASM2054358v1,Complete Genome,2021/10/24 00:00
GCA_020543575.1,ASM2054357v1,Complete Genome,2021/10/24 00:00
GCA_019823825.1,ASM1982382v1,Complete Genome,2021/08/31 00:00
GCA_019359825.1,ASM1935982v1,Complete Genome,2021/07/27 00:00
GCA_019359815.1,ASM1935981v1,Complete Genome,2021/07/27 00:00
GCA_018350305.1,ASM1835030v1,Complete Genome,2021/05/13 00:00
GCA_018350275.1,ASM1835027v1,Complete Genome,2021/05/13 00:00
GCA_018350265.1,ASM1835026v1,Complete Genome,2021/05/13 00:00
GCA_017654195.1,ASM1765419v1,Complete Genome,2021/03/31 00:00
GCA_017498705.1,ASM1749870v1,Complete Genome,2021/03/21 00:00
GCA_017347655.1,ASM1734765v1,Complete Genome,2021/03/12 00:00
GCA_017347645.1,Seq,Complete Genome,2021/03/12 00:00
GCA_011317695.2,De Novo,Complete Genome,2021/03/10 00:00
GCA_011317745.2,ASM1131774v2,Complete Genome,2021/03/10 00:00
GCA_011317665.2,ASM1131766v2,Complete Genome,2021/03/10 00:00
GCA_017121565.1,ASM1712156v1,Complete Genome,2021/03/02 00:00
GCA_015296525.2,ASM1529652v2,Complete Genome,2021/03/01 00:00
GCA_009708375.3,De Novo,Complete Genome,2021/02/19 00:00
GCA_009708415.3,De Novo,Complete Genome,2021/02/19 00:00
GCA_009708395.3,De Novo,Complete Genome,2021/02/19 00:00
GCA_003815435.2,ASM381543v2,Complete Genome,2021/01/13 00:00
GCA_015887495.1,ASM1588749v1,Complete Genome,2020/12/09 00:00
GCA_015887485.1,ASM1588748v1,Complete Genome,2020/12/09 00:00
GCA_015582635.1,ASM1558263v1,Complete Genome,2020/11/18 00:00
GCA_015354205.1,ASFV_NgheAn_2019,Complete Genome,2020/11/11 00:00
GCA_015354195.1,ASFV_Hanoi_2019,Complete Genome,2020/11/11 00:00
GCA_015296535.1,ASM1529653v1,Complete Genome,2020/11/09 00:00
GCA_015296525.1,ASM1529652v1,Complete Genome,2020/11/09 00:00
GCA_015296515.1,ASM1529651v1,Complete Genome,2020/11/09 00:00
GCA_015296505.1,ASM1529650v1,Complete Genome,2020/11/09 00:00
GCA_014692485.1,ASFV Korea/pig/Paju1/2019,Complete Genome,2020/09/22 00:00
GCF_003047755.2,ASM304775v2,Complete Genome,2020/08/06 00:00
GCA_013426255.1,ASM1342625v1,Complete Genome,2020/07/20 00:00
GCA_013387575.1,ASM1338757v1,Complete Genome,2020/07/03 00:00
GCA_011604335.1,ASM1160433v1,Complete Genome,2020/03/21 00:00
GCA_011604325.1,ASM1160432v1,Complete Genome,2020/03/21 00:00
GCA_011604315.1,ASM1160431v1,Complete Genome,2020/03/21 00:00
GCA_011604305.1,ASM1160430v1,Complete Genome,2020/03/21 00:00
GCA_011604295.1,ASM1160429v1,Complete Genome,2020/03/21 00:00
GCA_011604285.1,ASM1160428v1,Complete Genome,2020/03/21 00:00
GCA_011604275.1,ASM1160427v1,Complete Genome,2020/03/21 00:00
GCA_011604265.1,ASM1160426v1,Complete Genome,2020/03/21 00:00
GCA_011604255.1,ASM1160425v1,Complete Genome,2020/03/21 00:00
GCA_011604245.1,ASM1160424v1,Complete Genome,2020/03/21 00:00
GCA_011604235.1,ASM1160423v1,Complete Genome,2020/03/21 00:00
GCA_011604225.1,ASM1160422v1,Complete Genome,2020/03/21 00:00
GCA_011317745.1,ASM1131774v1,Complete Genome,2020/03/16 00:00
GCA_011317695.1,De Novo,Complete Genome,2020/03/16 00:00
GCA_011317665.1,ASM1131766v1,Complete Genome,2020/03/16 00:00
GCA_009708375.2,De Novo,Complete Genome,2020/03/09 00:00
GCA_009708395.2,De Novo,Complete Genome,2020/03/09 00:00
GCA_009708415.2,De Novo,Complete Genome,2020/03/09 00:00
GCA_011064665.1,ASM1106466v1,Complete Genome,2020/03/05 00:00
GCA_011064655.1,ASM1106465v1,Complete Genome,2020/03/05 00:00
GCA_011044375.1,ASM1104437v1,Complete Genome,2020/03/01 00:00
GCA_009760425.1,ASM976042v1,Complete Genome,2019/12/17 00:00
GCA_009708415.1,De Novo,Complete Genome,2019/11/26 00:00
GCA_009708395.1,De Novo,Complete Genome,2019/11/26 00:00
GCA_009708375.1,De Novo,Complete Genome,2019/11/26 00:00
GCA_009685485.1,ASM968548v1,Complete Genome,2019/11/21 00:00
GCA_008932025.1,ASM893202v1,Complete Genome,2019/10/09 00:00
GCA_008227825.1,ASFV Belgium/Etalle/wb/2018 Complete Genome,2019/09/02 00:00
GCA_007998955.1,ASFV_Kyiv_2016_131.hikita.flye.racon.medaka.polished,Complete Genome,2019/08/15 00:00
GCA_007310655.1,ASM731065v1,Complete Genome,2019/07/23 00:00
GCA_004338235.1,ASM433823v1,Complete Genome,2019/03/11 00:00
GCA_004338215.1,ASM433821v1,Complete Genome,2019/03/11 00:00
GCA_004135325.1,African swine fever virus,Complete Genome,2019/02/03 00:00
GCA_003815455.1,ASM381545v1,Complete Genome,2018/11/24 00:00
GCA_003815435.1,ASM381543v1,Complete Genome,2018/11/24 00:00
GCA_003815395.1,ASM381539v1,Complete Genome,2018/11/24 00:00
GCA_003815375.1,ASM381537v1,Complete Genome,2018/11/24 00:00
GCA_003815355.1,ASM381535v1,Complete Genome,2018/11/24 00:00
GCA_003815335.1,ASM381533v1,Complete Genome,2018/11/24 00:00
GCA_003815315.1,ASM381531v1,Complete Genome,2018/11/24 00:00
GCA_003815295.1,ASM381529v1,Complete Genome,2018/11/24 00:00
GCA_003815275.1,ASFV/Pol/2015/Podlaskie,Complete Genome,2018/11/24 00:00
GCA_003815255.1,ASM381525v1,Complete Genome,2018/11/24 00:00
GCA_003815235.1,ASM381523v1,Complete Genome,2018/11/24 00:00
GCA_003815215.1,ASM381521v1,Complete Genome,2018/11/24 00:00
GCA_003815195.1,ASM381519v1,Complete Genome,2018/11/24 00:00
GCA_003815175.1,ASM381517v1,Complete Genome,2018/11/24 00:00
GCA_900380425.1,lib02053,Complete Genome,2018/06/19 00:00
GCF_003047755.1,ASM304775v1,Complete Genome,2018/04/10 00:00
GCF_003047715.1,ASM304771v1,Complete Genome,2018/04/10 00:00
GCF_003047695.1,ASM304769v1,Complete Genome,2018/04/10 00:00
GCF_003047675.1,ASM304767v1,Complete Genome,2018/04/10 00:00
GCF_003033005.1,ASM303300v1,Complete Genome,2018/04/04 00:00
GCF_003032995.1,ASM303299v1,Complete Genome,2018/04/04 00:00
GCF_003032985.1,ASM303298v1,Complete Genome,2018/04/04 00:00
GCF_003032975.1,ASM303297v1,Complete Genome,2018/04/04 00:00
GCF_003032965.1,ASM303296v1,Complete Genome,2018/04/04 00:00
GCF_003032955.1,ASM303295v1,Complete Genome,2018/04/04 00:00
GCF_003032945.1,ASM303294v1,Complete Genome,2018/04/04 00:00
GCF_003032935.1,ASM303293v1,Complete Genome,2018/04/04 00:00
GCF_003032925.1,26544_10,Complete Genome,2018/04/04 00:00
GCF_003032915.1,ASM303291v1,Complete Genome,2018/04/04 00:00
GCF_003032905.1,ASM303290v1,Complete Genome,2018/04/04 00:00
GCF_003032895.1,ASM303289v1,Complete Genome,2018/04/04 00:00
GCF_003032885.1,ASM303288v1,Complete Genome,2018/04/04 00:00
GCF_003032865.1,ASM303286v1,Complete Genome,2018/04/04 00:00
GCF_000858485.1,ViralProj15242,Complete Genome,2017/07/19 00:00
